time;lv Rx;lv Ry;lv Rz;lv Vx;lv Vy;lv Vz;sc Rx;sc Ry;sc Rz;sc Vx;sc Vy;sc Vz;rel dist;rel vel;stiff force
0.89;5734893.821466293;-935152.9675486943;3295079.0481165014;-3441.9728964206006;2125.9825707669984;6593.961561369347;5734893.617886832;-935152.8416211088;3295079.4391313368;-3442.1760192165825;2126.1082158745057;6594.351699089148;0.4584702337875358;0.4574418036203303;0.0
0.9;5734859.401353867;-935131.7076604583;3295144.9875117885;-3442.0495887570623;2125.995076398009;6593.917495933127;5734859.195743178;-935131.5804764217;3295145.382428001;-3442.2527115502917;2126.1207215038216;6594.3076336476815;0.46304465173891945;0.4574417974584302;0.0
0.91;5734824.98047452;-935110.4476471673;3295210.926466417;-3442.1262806332115;2126.00758174471;6593.873429615109;5734824.772832602;-935110.3192066797;3295211.3252840065;-3442.329403423661;2126.1332268488104;6594.263567324367;0.4676190697067005;0.45744179123623013;0.0
0.92;5734790.558828255;-935089.1875088243;3295276.864980378;-3442.2029720490377;2126.0200868070992;6593.829362415299;5734790.349155111;-935089.0578118857;3295277.2676993445;-3442.4060948366796;2126.1457319094707;6594.219500119207;0.47219348684739115;0.457441784951326;0.0
0.93;5734756.136415079;-935067.927245432;3295342.8030536626;-3442.2796630045314;2126.032591585175;6593.785294333703;5734755.924710708;-935067.7962920425;3295343.2096740063;-3442.4827857893383;2126.1582366858006;6594.17543203221;0.4767679047987748;0.4574417786070224;0.0
0.9400000000000001;5734721.713234996;-935046.6668569936;3295408.7406862616;-3442.356353499681;2126.045096078936;6593.741225370327;5734721.499499396;-935046.5346471529;3295409.1512079826;-3442.5594762816254;2126.170741177799;6594.1313630633795;0.4813423231956793;0.4574417722000147;0.0
0.9500000000000001;5734687.289288011;-935025.4063435114;3295474.677878167;-3442.4330435344773;2126.0576002883795;6593.697155525177;5734687.073521183;-935025.2728772198;3295475.0923012644;-3442.6361663135312;2126.183245385463;6594.087293212724;0.48591674073433677;0.45744176573262996;0.0
0.96;5734652.864574128;-935004.1457049887;3295540.614629369;-3442.509733108909;2126.0701042135047;6593.6530847982585;5734652.646776072;-935004.0109822461;3295541.032953844;-3442.7128558850454;2126.1957493087925;6594.043222480248;0.49049115868572046;0.4574417592036437;0.0
0.97;5734618.43909335;-934982.8849414281;3295606.55093986;-3442.5864222229666;2126.08260785431;6593.609013189578;5734618.219264067;-934982.7489622346;3295606.9731657114;-3442.789544996158;2126.2082529477843;6593.999150865958;0.4950655762079806;0.4574417526134568;0.0
0.98;5734584.012845685;-934961.6240528326;3295672.4868096304;-3442.6631108766387;2126.0951112107937;6593.564940699141;5734583.790985174;-934961.4868171881;3295672.9129368584;-3442.8662336468574;2126.220756302438;6593.95507836986;0.49963999336506854;0.4574417459630178;0.0
